date,lad19cd,variable,value
2020-09-04,E07000010,tier_2,0.0
2020-09-04,E07000011,tier_2,0.0
2020-09-04,E07000012,tier_2,0.0
2020-09-04,E07000026,tier_2,0.0
2020-09-04,E07000027,tier_2,0.0
2020-09-04,E07000028,tier_2,0.0
2020-09-04,E07000029,tier_2,0.0
2020-09-04,E07000030,tier_2,0.0
2020-09-04,E07000031,tier_2,0.0
2020-09-04,E07000032,tier_2,0.0
2020-09-04,E07000033,tier_2,0.0
2020-09-04,E07000034,tier_2,0.0
2020-09-04,E07000035,tier_2,0.0
2020-09-04,E07000036,tier_2,0.0
2020-09-04,E07000037,tier_2,0.0
2020-09-04,E07000038,tier_2,0.0
2020-09-04,E07000039,tier_2,0.0
2020-09-04,E07000040,tier_2,0.0
2020-09-04,E07000041,tier_2,0.0
2020-09-04,E07000042,tier_2,0.0
2020-09-04,E07000043,tier_2,0.0
2020-09-04,E07000044,tier_2,0.0
2020-09-04,E07000045,tier_2,0.0
2020-09-04,E07000046,tier_2,0.0
2020-09-04,E07000047,tier_2,0.0
2020-09-04,E07000061,tier_2,0.0
2020-09-04,E07000062,tier_2,0.0
2020-09-04,E07000063,tier_2,0.0
2020-09-04,E07000064,tier_2,0.0
2020-09-04,E07000065,tier_2,0.0
2020-09-04,E07000066,tier_2,0.0
2020-09-04,E07000067,tier_2,0.0
2020-09-04,E07000068,tier_2,0.0
2020-09-04,E07000069,tier_2,0.0
2020-09-04,E07000070,tier_2,0.0
2020-09-04,E07000071,tier_2,0.0
2020-09-04,E07000072,tier_2,0.0
2020-09-04,E07000073,tier_2,0.0
2020-09-04,E07000074,tier_2,0.0
2020-09-04,E07000075,tier_2,0.0
2020-09-04,E07000076,tier_2,0.0
2020-09-04,E07000077,tier_2,0.0
2020-09-04,E07000078,tier_2,0.0
2020-09-04,E07000079,tier_2,0.0
2020-09-04,E07000080,tier_2,0.0
2020-09-04,E07000081,tier_2,0.0
2020-09-04,E07000082,tier_2,0.0
2020-09-04,E07000083,tier_2,0.0
2020-09-04,E07000084,tier_2,0.0
2020-09-04,E07000085,tier_2,0.0
2020-09-04,E07000086,tier_2,0.0
2020-09-04,E07000087,tier_2,0.0
2020-09-04,E07000088,tier_2,0.0
2020-09-04,E07000089,tier_2,0.0
2020-09-04,E07000090,tier_2,0.0
2020-09-04,E07000091,tier_2,0.0
2020-09-04,E07000092,tier_2,0.0
2020-09-04,E07000093,tier_2,0.0
2020-09-04,E07000094,tier_2,0.0
2020-09-04,E07000095,tier_2,0.0
2020-09-04,E07000096,tier_2,0.0
2020-09-04,E07000098,tier_2,0.0
2020-09-04,E07000099,tier_2,0.0
2020-09-04,E07000102,tier_2,0.0
2020-09-04,E07000103,tier_2,0.0
2020-09-04,E07000105,tier_2,0.0
2020-09-04,E07000106,tier_2,0.0
2020-09-04,E07000107,tier_2,0.0
2020-09-04,E07000108,tier_2,0.0
2020-09-04,E07000109,tier_2,0.0
2020-09-04,E07000110,tier_2,0.0
2020-09-04,E07000111,tier_2,0.0
2020-09-04,E07000112,tier_2,0.0
2020-09-04,E07000113,tier_2,0.0
2020-09-04,E07000114,tier_2,0.0
2020-09-04,E07000115,tier_2,0.0
2020-09-04,E07000116,tier_2,0.0
2020-09-04,E07000117,tier_2,0.0
2020-09-04,E07000118,tier_2,0.0
2020-09-04,E07000119,tier_2,0.0
2020-09-04,E07000120,tier_2,0.0
2020-09-04,E07000121,tier_2,0.0
2020-09-04,E07000122,tier_2,0.0
2020-09-04,E07000123,tier_2,0.0
2020-09-04,E07000124,tier_2,0.0
2020-09-04,E07000125,tier_2,0.0
2020-09-04,E07000126,tier_2,0.0
2020-09-04,E07000127,tier_2,0.0
2020-09-04,E07000128,tier_2,0.0
2020-09-04,E07000129,tier_2,0.0
2020-09-04,E07000130,tier_2,0.0
2020-09-04,E07000131,tier_2,0.0
2020-09-04,E07000132,tier_2,0.0
2020-09-04,E07000133,tier_2,0.0
2020-09-04,E07000134,tier_2,0.0
2020-09-04,E07000135,tier_2,0.0
2020-09-04,E07000136,tier_2,0.0
2020-09-04,E07000137,tier_2,0.0
2020-09-04,E07000138,tier_2,0.0
2020-09-04,E07000139,tier_2,0.0
2020-09-04,E07000140,tier_2,0.0
2020-09-04,E07000141,tier_2,0.0
2020-09-04,E07000142,tier_2,0.0
2020-09-04,E07000143,tier_2,0.0
2020-09-04,E07000144,tier_2,0.0
2020-09-04,E07000145,tier_2,0.0
2020-09-04,E07000146,tier_2,0.0
2020-09-04,E07000147,tier_2,0.0
2020-09-04,E07000148,tier_2,0.0
2020-09-04,E07000149,tier_2,0.0
2020-09-04,E07000150,tier_2,0.0
2020-09-04,E07000151,tier_2,0.0
2020-09-04,E07000152,tier_2,0.0
2020-09-04,E07000153,tier_2,0.0
2020-09-04,E07000154,tier_2,0.0
2020-09-04,E07000155,tier_2,0.0
2020-09-04,E07000156,tier_2,0.0
2020-09-04,E07000163,tier_2,0.0
2020-09-04,E07000164,tier_2,0.0
2020-09-04,E07000165,tier_2,0.0
2020-09-04,E07000166,tier_2,0.0
2020-09-04,E07000167,tier_2,0.0
2020-09-04,E07000168,tier_2,0.0
2020-09-04,E07000169,tier_2,0.0
2020-09-04,E07000170,tier_2,0.0
2020-09-04,E07000171,tier_2,0.0
2020-09-04,E07000172,tier_2,0.0
2020-09-04,E07000173,tier_2,0.0
2020-09-04,E07000174,tier_2,0.0
2020-09-04,E07000175,tier_2,0.0
2020-09-04,E07000176,tier_2,0.0
2020-09-04,E07000177,tier_2,0.0
2020-09-04,E07000178,tier_2,0.0
2020-09-04,E07000179,tier_2,0.0
2020-09-04,E07000180,tier_2,0.0
2020-09-04,E07000181,tier_2,0.0
2020-09-04,E07000187,tier_2,0.0
2020-09-04,E07000188,tier_2,0.0
2020-09-04,E07000189,tier_2,0.0
2020-09-04,E07000192,tier_2,0.0
2020-09-04,E07000193,tier_2,0.0
2020-09-04,E07000194,tier_2,0.0
2020-09-04,E07000195,tier_2,0.0
2020-09-04,E07000196,tier_2,0.0
2020-09-04,E07000197,tier_2,0.0
2020-09-04,E07000198,tier_2,0.0
2020-09-04,E07000199,tier_2,0.0
2020-09-04,E07000200,tier_2,0.0
2020-09-04,E07000202,tier_2,0.0
2020-09-04,E07000203,tier_2,0.0
2020-09-04,E07000207,tier_2,0.0
2020-09-04,E07000208,tier_2,0.0
2020-09-04,E07000209,tier_2,0.0
2020-09-04,E07000210,tier_2,0.0
2020-09-04,E07000211,tier_2,0.0
2020-09-04,E07000212,tier_2,0.0
2020-09-04,E07000213,tier_2,0.0
2020-09-04,E07000214,tier_2,0.0
2020-09-04,E07000215,tier_2,0.0
2020-09-04,E07000216,tier_2,0.0
2020-09-04,E07000217,tier_2,0.0
2020-09-04,E07000218,tier_2,0.0
2020-09-04,E07000219,tier_2,0.0
2020-09-04,E07000220,tier_2,0.0
2020-09-04,E07000221,tier_2,0.0
2020-09-04,E07000222,tier_2,0.0
2020-09-04,E07000223,tier_2,0.0
2020-09-04,E07000224,tier_2,0.0
2020-09-04,E07000225,tier_2,0.0
2020-09-04,E07000226,tier_2,0.0
2020-09-04,E07000227,tier_2,0.0
2020-09-04,E07000228,tier_2,0.0
2020-09-04,E07000229,tier_2,0.0
2020-09-04,E07000234,tier_2,0.0
2020-09-04,E07000235,tier_2,0.0
2020-09-04,E07000236,tier_2,0.0
2020-09-04,E07000237,tier_2,0.0
2020-09-04,E07000238,tier_2,0.0
2020-09-04,E07000239,tier_2,0.0
2020-09-04,E07000240,tier_2,0.0
2020-09-04,E07000241,tier_2,0.0
2020-09-04,E07000242,tier_2,0.0
2020-09-04,E07000243,tier_2,0.0
